table_name,column_name,data_type,is_nullable,column_default
VoyAdminLogs,id,uuid,NO,gen_random_uuid()
VoyAdminLogs,admin_user_id,uuid,YES,null
VoyAdminLogs,action,text,NO,null
VoyAdminLogs,details,jsonb,YES,null
VoyAdminLogs,created_at,timestamp with time zone,NO,now()
VoyChatParticipants,id,uuid,NO,gen_random_uuid()
VoyChatParticipants,chat_id,uuid,NO,null
VoyChatParticipants,user_id,uuid,NO,null
VoyChatParticipants,created_at,timestamp with time zone,NO,now()
VoyChats,id,uuid,NO,gen_random_uuid()
VoyChats,job_id,uuid,NO,null
VoyChats,company_user_id,uuid,NO,null
VoyChats,helper_user_id,uuid,NO,null
VoyChats,created_at,timestamp with time zone,YES,now()
VoyChats,updated_at,timestamp with time zone,YES,now()
VoyChats,last_message_at,timestamp with time zone,YES,now()
VoyCompanies,id,uuid,NO,gen_random_uuid()
VoyCompanies,owner_user_id,uuid,NO,null
VoyCompanies,name,text,NO,null
VoyCompanies,cif,text,YES,null
VoyCompanies,sector,text,YES,null
VoyCompanies,phone,text,YES,null
VoyCompanies,email,text,YES,null
VoyCompanies,website,text,YES,null
VoyCompanies,address,text,YES,null
VoyCompanies,city,text,YES,'Madrid'::text
VoyCompanies,district,text,YES,null
VoyCompanies,neighborhood,text,YES,null
VoyCompanies,created_at,timestamp with time zone,NO,now()
VoyCompanies,updated_at,timestamp with time zone,NO,now()
VoyCompanySubscriptions,id,uuid,NO,gen_random_uuid()
VoyCompanySubscriptions,company_user_id,uuid,NO,null
VoyCompanySubscriptions,subscription_type,text,NO,null
VoyCompanySubscriptions,amount,numeric,NO,null
VoyCompanySubscriptions,currency,text,YES,'EUR'::text
VoyCompanySubscriptions,status,text,NO,'pending'::text
VoyCompanySubscriptions,start_date,timestamp with time zone,YES,null
VoyCompanySubscriptions,end_date,timestamp with time zone,YES,null
VoyCompanySubscriptions,created_at,timestamp with time zone,YES,now()
VoyCompanySubscriptions,updated_at,timestamp with time zone,YES,now()
