table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale,datetime_precision,is_identity,identity_generation
public,VoyAdminLogs,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null,null,NO,null
public,VoyAdminLogs,2,admin_user_id,uuid,uuid,YES,null,null,null,null,null,NO,null
public,VoyAdminLogs,3,action,text,text,NO,null,null,null,null,null,NO,null
public,VoyAdminLogs,4,details,jsonb,jsonb,YES,null,null,null,null,null,NO,null
public,VoyAdminLogs,5,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null,6,NO,null
public,VoyChats,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null,null,NO,null
public,VoyChats,2,job_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyChats,3,company_user_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyChats,4,helper_user_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyChats,5,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null,6,NO,null
public,VoyChats,6,updated_at,timestamp with time zone,timestamptz,YES,now(),null,null,null,6,NO,null
public,VoyChats,7,last_message_at,timestamp with time zone,timestamptz,YES,now(),null,null,null,6,NO,null
public,VoyChats,8,status,text,text,NO,'ACTIVE'::text,null,null,null,null,NO,null
public,VoyChats,9,readonly_at,timestamp with time zone,timestamptz,YES,null,null,null,null,6,NO,null
public,VoyChats,10,purge_after,timestamp with time zone,timestamptz,YES,null,null,null,null,6,NO,null
public,VoyChats,11,last_message_preview,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanies,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null,null,NO,null
public,VoyCompanies,2,owner_user_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyCompanies,3,name,text,text,NO,null,null,null,null,null,NO,null
public,VoyCompanies,4,cif,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanies,5,sector,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanies,6,phone,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanies,7,email,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanies,8,website,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanies,9,address,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanies,10,city,text,text,YES,'Madrid'::text,null,null,null,null,NO,null
public,VoyCompanies,11,district,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanies,12,neighborhood,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanies,13,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null,6,NO,null
public,VoyCompanies,14,updated_at,timestamp with time zone,timestamptz,NO,now(),null,null,null,6,NO,null
public,VoyCompanySubscriptions,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null,null,NO,null
public,VoyCompanySubscriptions,2,company_user_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyCompanySubscriptions,3,subscription_type,text,text,NO,null,null,null,null,null,NO,null
public,VoyCompanySubscriptions,4,amount,numeric,numeric,NO,null,null,10,2,null,NO,null
public,VoyCompanySubscriptions,5,currency,text,text,YES,'EUR'::text,null,null,null,null,NO,null
public,VoyCompanySubscriptions,6,status,text,text,NO,'pending'::text,null,null,null,null,NO,null
public,VoyCompanySubscriptions,7,start_date,timestamp with time zone,timestamptz,YES,null,null,null,null,6,NO,null
public,VoyCompanySubscriptions,8,end_date,timestamp with time zone,timestamptz,YES,null,null,null,null,6,NO,null
public,VoyCompanySubscriptions,9,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null,6,NO,null
public,VoyCompanySubscriptions,10,updated_at,timestamp with time zone,timestamptz,YES,now(),null,null,null,6,NO,null
public,VoyCompanySubscriptions,11,stripe_payment_intent_id,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanySubscriptions,12,stripe_subscription_id,text,text,YES,null,null,null,null,null,NO,null
public,VoyCompanySubscriptions,13,metadata,jsonb,jsonb,YES,'{}'::jsonb,null,null,null,null,NO,null
public,VoyEmergencyAlertResponses,1,id,uuid,uuid,NO,uuid_generate_v4(),null,null,null,null,NO,null
public,VoyEmergencyAlertResponses,2,alert_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyEmergencyAlertResponses,3,contact_id,uuid,uuid,YES,null,null,null,null,null,NO,null
public,VoyEmergencyAlertResponses,4,responder_name,text,text,YES,null,null,null,null,null,NO,null
public,VoyEmergencyAlertResponses,5,responder_phone,text,text,YES,null,null,null,null,null,NO,null
public,VoyEmergencyAlertResponses,6,response_type,text,text,NO,null,null,null,null,null,NO,null
public,VoyEmergencyAlertResponses,7,response_time,timestamp with time zone,timestamptz,YES,now(),null,null,null,6,NO,null
public,VoyEmergencyAlertResponses,8,notes,text,text,YES,null,null,null,null,null,NO,null
public,VoyEmergencyAlertResponses,9,location,text,text,YES,null,null,null,null,null,NO,null
public,VoyEmergencyAlertResponses,10,latitude,numeric,numeric,YES,null,null,10,8,null,NO,null
public,VoyEmergencyAlertResponses,11,longitude,numeric,numeric,YES,null,null,11,8,null,NO,null
public,VoyEmergencyAlerts,1,id,uuid,uuid,NO,uuid_generate_v4(),null,null,null,null,NO,null
public,VoyEmergencyAlerts,2,user_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyEmergencyAlerts,3,alert_type,text,text,NO,null,null,null,null,null,NO,null
public,VoyEmergencyAlerts,4,location,text,text,YES,null,null,null,null,null,NO,null
public,VoyEmergencyAlerts,5,latitude,numeric,numeric,YES,null,null,10,8,null,NO,null
public,VoyEmergencyAlerts,6,longitude,numeric,numeric,YES,null,null,11,8,null,NO,null
public,VoyEmergencyAlerts,7,status,text,text,NO,'ACTIVE'::text,null,null,null,null,NO,null
public,VoyEmergencyAlerts,8,notes,text,text,YES,null,null,null,null,null,NO,null
public,VoyEmergencyAlerts,9,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null,6,NO,null
public,VoyEmergencyAlerts,10,resolved_at,timestamp with time zone,timestamptz,YES,null,null,null,null,6,NO,null
public,VoyEmergencyAlerts,11,resolved_by,uuid,uuid,YES,null,null,null,null,null,NO,null
public,VoyEmergencyContacts,1,id,uuid,uuid,NO,uuid_generate_v4(),null,null,null,null,NO,null
public,VoyEmergencyContacts,2,user_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyEmergencyContacts,3,name,text,text,NO,null,null,null,null,null,NO,null
public,VoyEmergencyContacts,4,phone,text,text,NO,null,null,null,null,null,NO,null
public,VoyEmergencyContacts,5,relationship,text,text,YES,null,null,null,null,null,NO,null
public,VoyEmergencyContacts,6,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null,6,NO,null
public,VoyEmergencyContacts,7,updated_at,timestamp with time zone,timestamptz,YES,now(),null,null,null,6,NO,null
public,VoyHelpers,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null,null,NO,null
public,VoyHelpers,2,user_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyHelpers,3,bio,text,text,YES,null,null,null,null,null,NO,null
public,VoyHelpers,4,skills,ARRAY,_text,YES,null,null,null,null,null,NO,null
public,VoyHelpers,5,min_hourly_rate,numeric,numeric,YES,null,null,10,2,null,NO,null
public,VoyHelpers,6,max_distance_km,numeric,numeric,YES,null,null,5,2,null,NO,null
public,VoyHelpers,7,rating_avg,numeric,numeric,YES,0,null,3,2,null,NO,null
public,VoyHelpers,8,rating_count,integer,int4,YES,0,null,32,0,null,NO,null
public,VoyHelpers,9,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null,6,NO,null
public,VoyHelpers,10,updated_at,timestamp with time zone,timestamptz,NO,now(),null,null,null,6,NO,null
public,VoyInsurancePlans,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null,null,NO,null
public,VoyInsurancePlans,2,policy_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyInsurancePlans,3,risk_level,smallint,int2,NO,null,null,16,0,null,NO,null
public,VoyInsurancePlans,4,name,text,text,NO,null,null,null,null,null,NO,null
public,VoyInsurancePlans,5,price_per_job,numeric,numeric,NO,0,null,12,2,null,NO,null
public,VoyInsurancePlans,6,price_per_hour,numeric,numeric,YES,null,null,12,2,null,NO,null
public,VoyInsurancePlans,7,coverage_amount,numeric,numeric,YES,null,null,12,2,null,NO,null
public,VoyInsurancePlans,8,deductible,numeric,numeric,YES,null,null,12,2,null,NO,null
public,VoyInsurancePlans,9,coverage_summary,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsurancePlans,10,exclusions,jsonb,jsonb,YES,'{}'::jsonb,null,null,null,null,NO,null
public,VoyInsurancePlans,11,is_active,boolean,bool,NO,true,null,null,null,null,NO,null
public,VoyInsurancePlans,12,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null,6,NO,null
public,VoyInsurancePlans,13,updated_at,timestamp with time zone,timestamptz,NO,now(),null,null,null,6,NO,null
public,VoyInsurancePolicies,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null,null,NO,null
public,VoyInsurancePolicies,2,provider_id,uuid,uuid,NO,null,null,null,null,null,NO,null
public,VoyInsurancePolicies,3,policy_number,text,text,NO,null,null,null,null,null,NO,null
public,VoyInsurancePolicies,4,status,text,text,NO,'ACTIVE'::text,null,null,null,null,NO,null
public,VoyInsurancePolicies,5,start_date,date,date,NO,null,null,null,null,0,NO,null
public,VoyInsurancePolicies,6,end_date,date,date,NO,null,null,null,null,0,NO,null
public,VoyInsurancePolicies,7,territory,text,text,YES,'España'::text,null,null,null,null,NO,null
public,VoyInsurancePolicies,8,claims_instructions,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsurancePolicies,9,policy_document_url,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsurancePolicies,10,metadata,jsonb,jsonb,YES,'{}'::jsonb,null,null,null,null,NO,null
public,VoyInsurancePolicies,11,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null,6,NO,null
public,VoyInsurancePolicies,12,updated_at,timestamp with time zone,timestamptz,NO,now(),null,null,null,6,NO,null
public,VoyInsuranceProviders,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null,null,NO,null
public,VoyInsuranceProviders,2,name,text,text,NO,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,3,legal_name,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,4,cif,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,5,website,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,6,claims_phone,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,7,claims_email,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,8,admin_contact_name,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,9,admin_contact_phone,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,10,admin_contact_email,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,11,broker_name,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,12,broker_phone,text,text,YES,null,null,null,null,null,NO,null
public,VoyInsuranceProviders,13,broker_email,text,text,YES,null,null,null,null,null,NO,null
