table_schema,table_name,constraint_name,constraint_type
public,VoyAdminLogs,2200_49153_1_not_null,CHECK
public,VoyAdminLogs,2200_49153_3_not_null,CHECK
public,VoyAdminLogs,2200_49153_5_not_null,CHECK
public,VoyAdminLogs,VoyAdminLogs_admin_user_id_fkey,FOREIGN KEY
public,VoyAdminLogs,VoyAdminLogs_pkey,PRIMARY KEY
public,VoyChats,2200_50572_1_not_null,CHECK
public,VoyChats,2200_50572_2_not_null,CHECK
public,VoyChats,2200_50572_3_not_null,CHECK
public,VoyChats,2200_50572_4_not_null,CHECK
public,VoyChats,2200_50572_8_not_null,CHECK
public,VoyChats,VoyChats_company_user_id_fkey,FOREIGN KEY
public,VoyChats,VoyChats_helper_user_id_fkey,FOREIGN KEY
public,VoyChats,VoyChats_job_id_fkey,FOREIGN KEY
public,VoyChats,VoyChats_pkey,PRIMARY KEY
public,VoyChats,unique_chat,UNIQUE
public,VoyCompanies,2200_48943_13_not_null,CHECK
public,VoyCompanies,2200_48943_14_not_null,CHECK
public,VoyCompanies,2200_48943_1_not_null,CHECK
public,VoyCompanies,2200_48943_2_not_null,CHECK
public,VoyCompanies,2200_48943_3_not_null,CHECK
public,VoyCompanies,VoyCompanies_owner_user_id_fkey,FOREIGN KEY
public,VoyCompanies,VoyCompanies_pkey,PRIMARY KEY
public,VoyCompanySubscriptions,2200_52044_1_not_null,CHECK
public,VoyCompanySubscriptions,2200_52044_2_not_null,CHECK
public,VoyCompanySubscriptions,2200_52044_3_not_null,CHECK
public,VoyCompanySubscriptions,2200_52044_4_not_null,CHECK
public,VoyCompanySubscriptions,2200_52044_6_not_null,CHECK
public,VoyCompanySubscriptions,VoyCompanySubscriptions_status_check,CHECK
public,VoyCompanySubscriptions,VoyCompanySubscriptions_subscription_type_check,CHECK
public,VoyCompanySubscriptions,VoyCompanySubscriptions_company_user_id_fkey,FOREIGN KEY
public,VoyCompanySubscriptions,VoyCompanySubscriptions_pkey,PRIMARY KEY
public,VoyEmergencyAlertResponses,2200_55552_1_not_null,CHECK
public,VoyEmergencyAlertResponses,2200_55552_2_not_null,CHECK
public,VoyEmergencyAlertResponses,2200_55552_6_not_null,CHECK
public,VoyEmergencyAlertResponses,VoyEmergencyAlertResponses_response_type_check,CHECK
public,VoyEmergencyAlertResponses,VoyEmergencyAlertResponses_alert_id_fkey,FOREIGN KEY
public,VoyEmergencyAlertResponses,VoyEmergencyAlertResponses_contact_id_fkey,FOREIGN KEY
public,VoyEmergencyAlertResponses,VoyEmergencyAlertResponses_pkey,PRIMARY KEY
public,VoyEmergencyAlerts,2200_55522_1_not_null,CHECK
public,VoyEmergencyAlerts,2200_55522_2_not_null,CHECK
public,VoyEmergencyAlerts,2200_55522_3_not_null,CHECK
public,VoyEmergencyAlerts,2200_55522_7_not_null,CHECK
public,VoyEmergencyAlerts,VoyEmergencyAlerts_alert_type_check,CHECK
public,VoyEmergencyAlerts,VoyEmergencyAlerts_status_check,CHECK
public,VoyEmergencyAlerts,VoyEmergencyAlerts_resolved_by_fkey,FOREIGN KEY
public,VoyEmergencyAlerts,VoyEmergencyAlerts_user_id_fkey,FOREIGN KEY
public,VoyEmergencyAlerts,VoyEmergencyAlerts_pkey,PRIMARY KEY
public,VoyEmergencyContacts,2200_55506_1_not_null,CHECK
public,VoyEmergencyContacts,2200_55506_2_not_null,CHECK
public,VoyEmergencyContacts,2200_55506_3_not_null,CHECK
public,VoyEmergencyContacts,2200_55506_4_not_null,CHECK
public,VoyEmergencyContacts,VoyEmergencyContacts_user_id_fkey,FOREIGN KEY
public,VoyEmergencyContacts,VoyEmergencyContacts_pkey,PRIMARY KEY
public,VoyHelpers,2200_48926_10_not_null,CHECK
public,VoyHelpers,2200_48926_1_not_null,CHECK
public,VoyHelpers,2200_48926_2_not_null,CHECK
public,VoyHelpers,2200_48926_9_not_null,CHECK
public,VoyHelpers,VoyHelpers_user_id_fkey,FOREIGN KEY
public,VoyHelpers,VoyHelpers_pkey,PRIMARY KEY
public,VoyInsurancePlans,2200_59085_11_not_null,CHECK
public,VoyInsurancePlans,2200_59085_12_not_null,CHECK
public,VoyInsurancePlans,2200_59085_13_not_null,CHECK
public,VoyInsurancePlans,2200_59085_1_not_null,CHECK
public,VoyInsurancePlans,2200_59085_2_not_null,CHECK
public,VoyInsurancePlans,2200_59085_3_not_null,CHECK
public,VoyInsurancePlans,2200_59085_4_not_null,CHECK
public,VoyInsurancePlans,2200_59085_5_not_null,CHECK
public,VoyInsurancePlans,VoyInsurancePlans_risk_level_check,CHECK
public,VoyInsurancePlans,VoyInsurancePlans_policy_id_fkey,FOREIGN KEY
public,VoyInsurancePlans,VoyInsurancePlans_pkey,PRIMARY KEY
public,VoyInsurancePlans,VoyInsurancePlans_policy_id_risk_level_name_key,UNIQUE
public,VoyInsurancePolicies,2200_59066_11_not_null,CHECK
public,VoyInsurancePolicies,2200_59066_12_not_null,CHECK
public,VoyInsurancePolicies,2200_59066_1_not_null,CHECK
public,VoyInsurancePolicies,2200_59066_2_not_null,CHECK
public,VoyInsurancePolicies,2200_59066_3_not_null,CHECK
public,VoyInsurancePolicies,2200_59066_4_not_null,CHECK
public,VoyInsurancePolicies,2200_59066_5_not_null,CHECK
public,VoyInsurancePolicies,2200_59066_6_not_null,CHECK
public,VoyInsurancePolicies,VoyInsurancePolicies_status_check,CHECK
public,VoyInsurancePolicies,VoyInsurancePolicies_provider_id_fkey,FOREIGN KEY
public,VoyInsurancePolicies,VoyInsurancePolicies_pkey,PRIMARY KEY
public,VoyInsuranceProviders,2200_59056_16_not_null,CHECK
public,VoyInsuranceProviders,2200_59056_17_not_null,CHECK
public,VoyInsuranceProviders,2200_59056_1_not_null,CHECK
public,VoyInsuranceProviders,2200_59056_2_not_null,CHECK
public,VoyInsuranceProviders,VoyInsuranceProviders_pkey,PRIMARY KEY
public,VoyInvoices,2200_49123_11_not_null,CHECK
public,VoyInvoices,2200_49123_12_not_null,CHECK
public,VoyInvoices,2200_49123_1_not_null,CHECK
public,VoyInvoices,2200_49123_3_not_null,CHECK
public,VoyInvoices,2200_49123_4_not_null,CHECK
public,VoyInvoices,2200_49123_5_not_null,CHECK
public,VoyInvoices,2200_49123_6_not_null,CHECK
public,VoyInvoices,2200_49123_7_not_null,CHECK
public,VoyInvoices,VoyInvoices_assignment_id_fkey,FOREIGN KEY
public,VoyInvoices,VoyInvoices_issuer_user_id_fkey,FOREIGN KEY
public,VoyInvoices,VoyInvoices_payer_user_id_fkey,FOREIGN KEY
public,VoyInvoices,VoyInvoices_pkey,PRIMARY KEY
public,VoyJobApplications,2200_48987_1_not_null,CHECK
public,VoyJobApplications,2200_48987_2_not_null,CHECK
public,VoyJobApplications,2200_48987_3_not_null,CHECK
public,VoyJobApplications,2200_48987_7_not_null,CHECK
public,VoyJobApplications,2200_48987_8_not_null,CHECK
public,VoyJobApplications,2200_48987_9_not_null,CHECK
public,VoyJobApplications,VoyJobApplications_helper_user_id_fkey,FOREIGN KEY
public,VoyJobApplications,VoyJobApplications_job_id_fkey,FOREIGN KEY
public,VoyJobApplications,VoyJobApplications_pkey,PRIMARY KEY
public,VoyJobApplications,VoyJobApplications_job_helper_unique,UNIQUE
public,VoyJobAssignments,2200_49010_11_not_null,CHECK
public,VoyJobAssignments,2200_49010_12_not_null,CHECK
public,VoyJobAssignments,2200_49010_1_not_null,CHECK
public,VoyJobAssignments,2200_49010_2_not_null,CHECK
public,VoyJobAssignments,2200_49010_3_not_null,CHECK
public,VoyJobAssignments,2200_49010_4_not_null,CHECK
public,VoyJobAssignments,2200_49010_8_not_null,CHECK
public,VoyJobAssignments,VoyJobAssignments_helper_user_id_fkey,FOREIGN KEY
public,VoyJobAssignments,VoyJobAssignments_job_id_fkey,FOREIGN KEY
public,VoyJobAssignments,VoyJobAssignments_requester_user_id_fkey,FOREIGN KEY
public,VoyJobAssignments,VoyJobAssignments_pkey,PRIMARY KEY
public,VoyJobAssignments,VoyJobAssignments_job_id_key,UNIQUE
public,VoyJobInsurance,2200_59106_12_not_null,CHECK
public,VoyJobInsurance,2200_59106_13_not_null,CHECK
public,VoyJobInsurance,2200_59106_1_not_null,CHECK
