table_schema,table_name,policyname,permissive,roles,cmd,using_expression,with_check_expression
public,VoyAdminLogs,VoyAdminLogs_admin_only_insert,PERMISSIVE,{public},INSERT,null,is_admin()
public,VoyAdminLogs,VoyAdminLogs_admin_only_select,PERMISSIVE,{public},SELECT,is_admin(),null
public,VoyAdminLogs,voyadminlogs_admin,PERMISSIVE,{authenticated},ALL,((auth.jwt() ->> 'role'::text) = 'admin'::text),((auth.jwt() ->> 'role'::text) = 'admin'::text)
public,VoyChats,VoyChats_delete_service,PERMISSIVE,{public},DELETE,(auth.role() = 'service_role'::text),null
public,VoyChats,VoyChats_insert_1to1,PERMISSIVE,{public},INSERT,null,((auth.uid() = company_user_id) OR (auth.uid() = helper_user_id))
public,VoyChats,VoyChats_select_1to1,PERMISSIVE,{public},SELECT,((auth.uid() = company_user_id) OR (auth.uid() = helper_user_id)),null
public,VoyChats,VoyChats_update_1to1,PERMISSIVE,{public},UPDATE,((auth.uid() = company_user_id) OR (auth.uid() = helper_user_id)),((auth.uid() = company_user_id) OR (auth.uid() = helper_user_id))
public,VoyCompanies,VoyCompanies_delete_own_or_admin,PERMISSIVE,{public},DELETE,((owner_user_id = current_voy_user_id()) OR is_admin()),null
public,VoyCompanies,VoyCompanies_insert_own,PERMISSIVE,{public},INSERT,null,((owner_user_id = current_voy_user_id()) OR is_admin())
public,VoyCompanies,VoyCompanies_select_own_or_admin,PERMISSIVE,{public},SELECT,((owner_user_id = current_voy_user_id()) OR is_admin()),null
public,VoyCompanies,VoyCompanies_update_own_or_admin,PERMISSIVE,{public},UPDATE,((owner_user_id = current_voy_user_id()) OR is_admin()),((owner_user_id = current_voy_user_id()) OR is_admin())
public,VoyCompanySubscriptions,Companies can create own subscriptions,PERMISSIVE,{public},INSERT,null,"(company_user_id IN ( SELECT ""VoyUsers"".id
   FROM ""VoyUsers""
  WHERE (""VoyUsers"".auth_user_id = auth.uid())))"
public,VoyCompanySubscriptions,Companies can view own subscriptions,PERMISSIVE,{public},SELECT,"((company_user_id IN ( SELECT ""VoyUsers"".id
   FROM ""VoyUsers""
  WHERE (""VoyUsers"".auth_user_id = auth.uid()))) OR (EXISTS ( SELECT 1
   FROM ""VoyUsers""
  WHERE ((""VoyUsers"".auth_user_id = auth.uid()) AND (""VoyUsers"".role = 'ADMIN'::""VoyUserRole"")))))",null
public,VoyCompanySubscriptions,Service role can update subscriptions,PERMISSIVE,{public},UPDATE,true,true
public,VoyCompanySubscriptions,voycompanysubs_insert_owner,PERMISSIVE,{authenticated},INSERT,null,((company_user_id = auth.uid()) OR ((auth.jwt() ->> 'role'::text) = 'admin'::text))
public,VoyCompanySubscriptions,voycompanysubs_update_owner,PERMISSIVE,{authenticated},UPDATE,(((auth.jwt() ->> 'role'::text) = 'admin'::text) OR (company_user_id = auth.uid())),(((auth.jwt() ->> 'role'::text) = 'admin'::text) OR (company_user_id = auth.uid()))
public,VoyCompanySubscriptions,voycompanysubs_view,PERMISSIVE,{authenticated},SELECT,(((auth.jwt() ->> 'role'::text) = 'admin'::text) OR (company_user_id = auth.uid())),null
public,VoyEmergencyAlertResponses,Anyone can insert alert responses,PERMISSIVE,{authenticated},INSERT,null,true
public,VoyEmergencyAlertResponses,Anyone can view alert responses,PERMISSIVE,{authenticated},SELECT,true,null
public,VoyEmergencyAlertResponses,voyemgresponses_insert_responder,PERMISSIVE,{authenticated},INSERT,null,"(((auth.jwt() ->> 'role'::text) = 'admin'::text) OR (EXISTS ( SELECT 1
   FROM ""VoyEmergencyAlerts"" a
  WHERE ((a.id = ""VoyEmergencyAlertResponses"".alert_id) AND (a.user_id = auth.uid())))))"
public,VoyEmergencyAlertResponses,voyemgresponses_responder_or_owner,PERMISSIVE,{authenticated},SELECT,"(((auth.jwt() ->> 'role'::text) = 'admin'::text) OR (EXISTS ( SELECT 1
   FROM ""VoyEmergencyAlerts"" a
  WHERE ((a.id = ""VoyEmergencyAlertResponses"".alert_id) AND (a.user_id = auth.uid())))))",null
public,VoyEmergencyAlerts,Users can insert own emergency alerts,PERMISSIVE,{authenticated},INSERT,null,"(user_id IN ( SELECT ""VoyUsers"".id
   FROM ""VoyUsers""
  WHERE (""VoyUsers"".auth_user_id = auth.uid())))"
