table_schema,table_name,rls_enabled,rls_forced
public,VoyAdminLogs,true,false
public,VoyChats,true,false
public,VoyCompanies,true,false
public,VoyCompanySubscriptions,true,false
public,VoyEmergencyAlertResponses,true,false
public,VoyEmergencyAlerts,true,false
public,VoyEmergencyContacts,true,false
public,VoyHelpers,true,false
public,VoyInsurancePlans,true,false
public,VoyInsurancePolicies,true,false
public,VoyInsuranceProviders,true,false
public,VoyInvoices,true,false
public,VoyJobApplications,true,false
public,VoyJobAssignments,true,false
public,VoyJobInsurance,true,false
public,VoyJobs,true,false
public,VoyMessages,true,false
public,VoyMicroTasks,true,false
public,VoyNotifications,true,false
public,VoyPayments,true,false
public,VoyReferralCodes,true,false
public,VoyReferralEvents,true,false
public,VoyReviews,true,false
public,VoyRewardCampaigns,true,false
public,VoyRewards,true,false
public,VoySectors,true,false
public,VoyUsers,true,false
public,VoyWalletLedger,true,false
public,VoyWallets,true,false
public,VoyWorkContracts,true,false
public,VoyWorkSchedules,true,false
voy_marketplace,buyer_profiles,true,false
voy_marketplace,categories,true,false
voy_marketplace,credit_notes,true,false
voy_marketplace,inventory,true,false
voy_marketplace,invoices,true,false
voy_marketplace,order_items,true,false
voy_marketplace,orders,true,false
voy_marketplace,product_images,true,false
voy_marketplace,product_prices,true,false
voy_marketplace,products,true,false
voy_marketplace,promotion_products,true,false
voy_marketplace,promotions,true,false
voy_marketplace,return_items,true,false
voy_marketplace,returns,true,false
voy_marketplace,seller_plans,true,false
voy_marketplace,seller_profiles,true,false
voy_marketplace,seller_staff,true,false
voy_marketplace,seller_subscriptions,true,false
