table_schema,table_name,column_name,data_type,is_nullable,column_default
public,VoyAdminLogs,id,uuid,NO,gen_random_uuid()
public,VoyAdminLogs,admin_user_id,uuid,YES,null
public,VoyAdminLogs,action,text,NO,null
public,VoyAdminLogs,details,jsonb,YES,null
public,VoyAdminLogs,created_at,timestamp with time zone,NO,now()
public,VoyChats,id,uuid,NO,gen_random_uuid()
public,VoyChats,job_id,uuid,NO,null
public,VoyChats,company_user_id,uuid,NO,null
public,VoyChats,helper_user_id,uuid,NO,null
public,VoyChats,created_at,timestamp with time zone,YES,now()
public,VoyChats,updated_at,timestamp with time zone,YES,now()
public,VoyChats,last_message_at,timestamp with time zone,YES,now()
public,VoyChats,status,text,NO,'ACTIVE'::text
public,VoyChats,readonly_at,timestamp with time zone,YES,null
public,VoyChats,purge_after,timestamp with time zone,YES,null
public,VoyChats,last_message_preview,text,YES,null
public,VoyCompanies,id,uuid,NO,gen_random_uuid()
public,VoyCompanies,owner_user_id,uuid,NO,null
public,VoyCompanies,name,text,NO,null
public,VoyCompanies,cif,text,YES,null
public,VoyCompanies,sector,text,YES,null
public,VoyCompanies,phone,text,YES,null
public,VoyCompanies,email,text,YES,null
public,VoyCompanies,website,text,YES,null
public,VoyCompanies,address,text,YES,null
public,VoyCompanies,city,text,YES,'Madrid'::text
public,VoyCompanies,district,text,YES,null
public,VoyCompanies,neighborhood,text,YES,null
public,VoyCompanies,created_at,timestamp with time zone,NO,now()
public,VoyCompanies,updated_at,timestamp with time zone,NO,now()
public,VoyCompanySubscriptions,id,uuid,NO,gen_random_uuid()
public,VoyCompanySubscriptions,company_user_id,uuid,NO,null
public,VoyCompanySubscriptions,subscription_type,text,NO,null
public,VoyCompanySubscriptions,amount,numeric,NO,null
public,VoyCompanySubscriptions,currency,text,YES,'EUR'::text
public,VoyCompanySubscriptions,status,text,NO,'pending'::text
public,VoyCompanySubscriptions,start_date,timestamp with time zone,YES,null
public,VoyCompanySubscriptions,end_date,timestamp with time zone,YES,null
public,VoyCompanySubscriptions,created_at,timestamp with time zone,YES,now()
public,VoyCompanySubscriptions,updated_at,timestamp with time zone,YES,now()
public,VoyCompanySubscriptions,stripe_payment_intent_id,text,YES,null
public,VoyCompanySubscriptions,stripe_subscription_id,text,YES,null
public,VoyCompanySubscriptions,metadata,jsonb,YES,'{}'::jsonb
public,VoyEmergencyAlertResponses,id,uuid,NO,uuid_generate_v4()
public,VoyEmergencyAlertResponses,alert_id,uuid,NO,null
public,VoyEmergencyAlertResponses,contact_id,uuid,YES,null
public,VoyEmergencyAlertResponses,responder_name,text,YES,null
public,VoyEmergencyAlertResponses,responder_phone,text,YES,null
public,VoyEmergencyAlertResponses,response_type,text,NO,null
public,VoyEmergencyAlertResponses,response_time,timestamp with time zone,YES,now()
public,VoyEmergencyAlertResponses,notes,text,YES,null
public,VoyEmergencyAlertResponses,location,text,YES,null
public,VoyEmergencyAlertResponses,latitude,numeric,YES,null
public,VoyEmergencyAlertResponses,longitude,numeric,YES,null
public,VoyEmergencyAlerts,id,uuid,NO,uuid_generate_v4()
public,VoyEmergencyAlerts,user_id,uuid,NO,null
public,VoyEmergencyAlerts,alert_type,text,NO,null
public,VoyEmergencyAlerts,location,text,YES,null
public,VoyEmergencyAlerts,latitude,numeric,YES,null
public,VoyEmergencyAlerts,longitude,numeric,YES,null
public,VoyEmergencyAlerts,status,text,NO,'ACTIVE'::text
public,VoyEmergencyAlerts,notes,text,YES,null
public,VoyEmergencyAlerts,created_at,timestamp with time zone,YES,now()
public,VoyEmergencyAlerts,resolved_at,timestamp with time zone,YES,null
public,VoyEmergencyAlerts,resolved_by,uuid,YES,null
public,VoyEmergencyContacts,id,uuid,NO,uuid_generate_v4()
public,VoyEmergencyContacts,user_id,uuid,NO,null
public,VoyEmergencyContacts,name,text,NO,null
public,VoyEmergencyContacts,phone,text,NO,null
public,VoyEmergencyContacts,relationship,text,YES,null
public,VoyEmergencyContacts,created_at,timestamp with time zone,YES,now()
public,VoyEmergencyContacts,updated_at,timestamp with time zone,YES,now()
public,VoyHelpers,id,uuid,NO,gen_random_uuid()
public,VoyHelpers,user_id,uuid,NO,null
public,VoyHelpers,bio,text,YES,null
public,VoyHelpers,skills,ARRAY,YES,null
public,VoyHelpers,min_hourly_rate,numeric,YES,null
public,VoyHelpers,max_distance_km,numeric,YES,null
public,VoyHelpers,rating_avg,numeric,YES,0
public,VoyHelpers,rating_count,integer,YES,0
public,VoyHelpers,created_at,timestamp with time zone,NO,now()
public,VoyHelpers,updated_at,timestamp with time zone,NO,now()
public,VoyInsurancePlans,id,uuid,NO,gen_random_uuid()
public,VoyInsurancePlans,policy_id,uuid,NO,null
public,VoyInsurancePlans,risk_level,smallint,NO,null
public,VoyInsurancePlans,name,text,NO,null
public,VoyInsurancePlans,price_per_job,numeric,NO,0
public,VoyInsurancePlans,price_per_hour,numeric,YES,null
