table_schema,table_name,constraint_name,fk_column,ref_schema,ref_table,ref_column
public,VoyAdminLogs,VoyAdminLogs_admin_user_id_fkey,admin_user_id,public,VoyUsers,id
public,VoyChats,VoyChats_company_user_id_fkey,company_user_id,public,VoyUsers,id
public,VoyChats,VoyChats_helper_user_id_fkey,helper_user_id,public,VoyUsers,id
public,VoyChats,VoyChats_job_id_fkey,job_id,public,VoyJobs,id
public,VoyCompanies,VoyCompanies_owner_user_id_fkey,owner_user_id,public,VoyUsers,id
public,VoyCompanySubscriptions,VoyCompanySubscriptions_company_user_id_fkey,company_user_id,public,VoyUsers,id
public,VoyEmergencyAlertResponses,VoyEmergencyAlertResponses_alert_id_fkey,alert_id,public,VoyEmergencyAlerts,id
public,VoyEmergencyAlertResponses,VoyEmergencyAlertResponses_contact_id_fkey,contact_id,public,VoyEmergencyContacts,id
public,VoyEmergencyAlerts,VoyEmergencyAlerts_resolved_by_fkey,resolved_by,public,VoyUsers,id
public,VoyEmergencyAlerts,VoyEmergencyAlerts_user_id_fkey,user_id,public,VoyUsers,id
public,VoyEmergencyContacts,VoyEmergencyContacts_user_id_fkey,user_id,public,VoyUsers,id
public,VoyHelpers,VoyHelpers_user_id_fkey,user_id,public,VoyUsers,id
public,VoyInsurancePlans,VoyInsurancePlans_policy_id_fkey,policy_id,public,VoyInsurancePolicies,id
public,VoyInsurancePolicies,VoyInsurancePolicies_provider_id_fkey,provider_id,public,VoyInsuranceProviders,id
public,VoyInvoices,VoyInvoices_assignment_id_fkey,assignment_id,public,VoyJobAssignments,id
public,VoyInvoices,VoyInvoices_issuer_user_id_fkey,issuer_user_id,public,VoyUsers,id
public,VoyInvoices,VoyInvoices_payer_user_id_fkey,payer_user_id,public,VoyUsers,id
public,VoyJobApplications,VoyJobApplications_helper_user_id_fkey,helper_user_id,public,VoyUsers,id
public,VoyJobApplications,VoyJobApplications_job_id_fkey,job_id,public,VoyJobs,id
public,VoyJobAssignments,VoyJobAssignments_helper_user_id_fkey,helper_user_id,public,VoyUsers,id
public,VoyJobAssignments,VoyJobAssignments_job_id_fkey,job_id,public,VoyJobs,id
public,VoyJobAssignments,VoyJobAssignments_requester_user_id_fkey,requester_user_id,public,VoyUsers,id
public,VoyJobInsurance,VoyJobInsurance_job_id_fkey,job_id,public,VoyJobs,id
public,VoyJobInsurance,VoyJobInsurance_plan_id_fkey,plan_id,public,VoyInsurancePlans,id
public,VoyJobInsurance,VoyJobInsurance_policy_id_fkey,policy_id,public,VoyInsurancePolicies,id
public,VoyJobs,VoyJobs_company_id_fkey,company_id,public,VoyCompanies,id
public,VoyJobs,VoyJobs_creator_user_id_fkey,creator_user_id,public,VoyUsers,id
public,VoyJobs,voyjobs_microtask_fk,microtask_id,public,VoyMicroTasks,id
public,VoyMessages,VoyMessages_chat_id_fkey,chat_id,public,VoyChats,id
