table_schema,table_name,index_name,indexdef
public,VoyAdminLogs,VoyAdminLogs_pkey,"CREATE UNIQUE INDEX ""VoyAdminLogs_pkey"" ON public.""VoyAdminLogs"" USING btree (id)"
public,VoyChats,VoyChats_job_id_unique_idx,"CREATE UNIQUE INDEX ""VoyChats_job_id_unique_idx"" ON public.""VoyChats"" USING btree (job_id)"
public,VoyChats,VoyChats_pkey,"CREATE UNIQUE INDEX ""VoyChats_pkey"" ON public.""VoyChats"" USING btree (id)"
public,VoyChats,idx_voychats_company,"CREATE INDEX idx_voychats_company ON public.""VoyChats"" USING btree (company_user_id)"
public,VoyChats,idx_voychats_helper,"CREATE INDEX idx_voychats_helper ON public.""VoyChats"" USING btree (helper_user_id)"
public,VoyChats,idx_voychats_job,"CREATE INDEX idx_voychats_job ON public.""VoyChats"" USING btree (job_id)"
public,VoyChats,idx_voychats_last_message,"CREATE INDEX idx_voychats_last_message ON public.""VoyChats"" USING btree (last_message_at DESC)"
public,VoyChats,unique_chat,"CREATE UNIQUE INDEX unique_chat ON public.""VoyChats"" USING btree (job_id, company_user_id, helper_user_id)"
public,VoyCompanies,VoyCompanies_owner_idx,"CREATE INDEX ""VoyCompanies_owner_idx"" ON public.""VoyCompanies"" USING btree (owner_user_id)"
public,VoyCompanies,VoyCompanies_pkey,"CREATE UNIQUE INDEX ""VoyCompanies_pkey"" ON public.""VoyCompanies"" USING btree (id)"
public,VoyCompanySubscriptions,VoyCompanySubscriptions_pkey,"CREATE UNIQUE INDEX ""VoyCompanySubscriptions_pkey"" ON public.""VoyCompanySubscriptions"" USING btree (id)"
public,VoyCompanySubscriptions,idx_subscriptions_company_user,"CREATE INDEX idx_subscriptions_company_user ON public.""VoyCompanySubscriptions"" USING btree (company_user_id)"
public,VoyCompanySubscriptions,idx_subscriptions_dates,"CREATE INDEX idx_subscriptions_dates ON public.""VoyCompanySubscriptions"" USING btree (start_date, end_date)"
public,VoyCompanySubscriptions,idx_subscriptions_status,"CREATE INDEX idx_subscriptions_status ON public.""VoyCompanySubscriptions"" USING btree (status)"
public,VoyEmergencyAlertResponses,VoyEmergencyAlertResponses_pkey,"CREATE UNIQUE INDEX ""VoyEmergencyAlertResponses_pkey"" ON public.""VoyEmergencyAlertResponses"" USING btree (id)"
public,VoyEmergencyAlertResponses,idx_emergency_responses_alert_id,"CREATE INDEX idx_emergency_responses_alert_id ON public.""VoyEmergencyAlertResponses"" USING btree (alert_id)"
public,VoyEmergencyAlertResponses,idx_emergency_responses_contact_id,"CREATE INDEX idx_emergency_responses_contact_id ON public.""VoyEmergencyAlertResponses"" USING btree (contact_id)"
public,VoyEmergencyAlerts,VoyEmergencyAlerts_pkey,"CREATE UNIQUE INDEX ""VoyEmergencyAlerts_pkey"" ON public.""VoyEmergencyAlerts"" USING btree (id)"
public,VoyEmergencyAlerts,idx_emergency_alerts_created_at,"CREATE INDEX idx_emergency_alerts_created_at ON public.""VoyEmergencyAlerts"" USING btree (created_at DESC)"
public,VoyEmergencyAlerts,idx_emergency_alerts_status,"CREATE INDEX idx_emergency_alerts_status ON public.""VoyEmergencyAlerts"" USING btree (status)"
public,VoyEmergencyAlerts,idx_emergency_alerts_user_id,"CREATE INDEX idx_emergency_alerts_user_id ON public.""VoyEmergencyAlerts"" USING btree (user_id)"
public,VoyEmergencyContacts,VoyEmergencyContacts_pkey,"CREATE UNIQUE INDEX ""VoyEmergencyContacts_pkey"" ON public.""VoyEmergencyContacts"" USING btree (id)"
public,VoyEmergencyContacts,idx_emergency_contacts_user_id,"CREATE INDEX idx_emergency_contacts_user_id ON public.""VoyEmergencyContacts"" USING btree (user_id)"
public,VoyHelpers,VoyHelpers_pkey,"CREATE UNIQUE INDEX ""VoyHelpers_pkey"" ON public.""VoyHelpers"" USING btree (id)"
public,VoyInsurancePlans,VoyInsurancePlans_pkey,"CREATE UNIQUE INDEX ""VoyInsurancePlans_pkey"" ON public.""VoyInsurancePlans"" USING btree (id)"
