table_schema,table_name,constraint_name,column_name,ordinal_position
public,VoyAdminLogs,VoyAdminLogs_pkey,id,1
public,VoyChats,VoyChats_pkey,id,1
public,VoyCompanies,VoyCompanies_pkey,id,1
public,VoyCompanySubscriptions,VoyCompanySubscriptions_pkey,id,1
public,VoyEmergencyAlertResponses,VoyEmergencyAlertResponses_pkey,id,1
public,VoyEmergencyAlerts,VoyEmergencyAlerts_pkey,id,1
public,VoyEmergencyContacts,VoyEmergencyContacts_pkey,id,1
public,VoyHelpers,VoyHelpers_pkey,id,1
public,VoyInsurancePlans,VoyInsurancePlans_pkey,id,1
public,VoyInsurancePolicies,VoyInsurancePolicies_pkey,id,1
public,VoyInsuranceProviders,VoyInsuranceProviders_pkey,id,1
public,VoyInvoices,VoyInvoices_pkey,id,1
public,VoyJobApplications,VoyJobApplications_pkey,id,1
public,VoyJobAssignments,VoyJobAssignments_pkey,id,1
public,VoyJobInsurance,VoyJobInsurance_pkey,id,1
public,VoyJobs,VoyJobs_pkey,id,1
public,VoyMessages,VoyMessages_pkey,id,1
public,VoyMicroTasks,VoyMicroTasks_pkey,id,1
public,VoyNotifications,VoyNotifications_pkey,id,1
public,VoyPayments,VoyPayments_pkey,id,1
public,VoyReferralCodes,VoyReferralCodes_pkey,id,1
public,VoyReferralEvents,VoyReferralEvents_pkey,id,1
public,VoyReviews,VoyReviews_pkey,id,1
public,VoyRewardCampaigns,VoyRewardCampaigns_pkey,id,1
public,VoyRewards,VoyRewards_pkey,id,1
public,VoySectors,VoySectors_pkey,id,1
public,VoyUsers,VoyUsers_pkey,id,1
public,VoyWalletLedger,VoyWalletLedger_pkey,id,1
public,VoyWallets,VoyWallets_pkey,id,1
public,VoyWorkContracts,VoyWorkContracts_pkey,id,1
public,VoyWorkSchedules,VoyWorkSchedules_pkey,id,1
voy_marketplace,buyer_profiles,buyer_profiles_pkey,user_id,1
voy_marketplace,categories,categories_pkey,id,1
voy_marketplace,credit_notes,credit_notes_pkey,id,1
voy_marketplace,inventory,inventory_pkey,product_id,1
voy_marketplace,invoices,invoices_pkey,id,1
voy_marketplace,order_items,order_items_pkey,id,1
voy_marketplace,orders,orders_pkey,id,1
voy_marketplace,product_images,product_images_pkey,id,1
voy_marketplace,product_prices,product_prices_pkey,product_id,1
voy_marketplace,products,products_pkey,id,1
voy_marketplace,promotion_products,promotion_products_pkey,promotion_id,1
voy_marketplace,promotion_products,promotion_products_pkey,product_id,2
voy_marketplace,promotions,promotions_pkey,id,1
voy_marketplace,return_items,return_items_pkey,id,1
voy_marketplace,returns,returns_pkey,id,1
voy_marketplace,seller_plans,seller_plans_pkey,id,1
voy_marketplace,seller_profiles,seller_profiles_pkey,id,1
voy_marketplace,seller_staff,seller_staff_pkey,seller_id,1
voy_marketplace,seller_staff,seller_staff_pkey,user_id,2
voy_marketplace,seller_subscriptions,seller_subscriptions_pkey,id,1
