table_schema,table_name
public,VoyAdminLogs
public,VoyChats
public,VoyCompanies
public,VoyCompanySubscriptions
public,VoyEmergencyAlertResponses
public,VoyEmergencyAlerts
public,VoyEmergencyContacts
public,VoyHelpers
public,VoyInsurancePlans
public,VoyInsurancePolicies
public,VoyInsuranceProviders
public,VoyInvoices
public,VoyJobApplications
public,VoyJobAssignments
public,VoyJobInsurance
public,VoyJobs
public,VoyMessages
public,VoyMicroTasks
public,VoyNotifications
public,VoyPayments
public,VoyReferralCodes
public,VoyReferralEvents
public,VoyReviews
public,VoyRewardCampaigns
public,VoyRewards
public,VoySectors
public,VoyUsers
public,VoyWalletLedger
public,VoyWallets
public,VoyWorkContracts
public,VoyWorkSchedules
voy_marketplace,buyer_profiles
voy_marketplace,categories
voy_marketplace,credit_notes
voy_marketplace,inventory
voy_marketplace,invoices
voy_marketplace,order_items
voy_marketplace,orders
voy_marketplace,product_images
voy_marketplace,product_prices
voy_marketplace,products
voy_marketplace,promotion_products
voy_marketplace,promotions
voy_marketplace,return_items
voy_marketplace,returns
voy_marketplace,seller_plans
voy_marketplace,seller_profiles
voy_marketplace,seller_staff
voy_marketplace,seller_subscriptions
